"","CLASS","SepalWidthCm","PetalLengthCm","PetalWidthCm","SepalLengthCm"
"128","Iris-virginica",3,4.9,1.8,6.1
"83","Iris-versicolor",2.7,3.9,1.2,5.8
"141","Iris-virginica",3.1,5.6,2.4,6.7
"20","Iris-setosa",3.8,1.5,0.3,5.1
"38","Iris-setosa",3.1,1.5,0.1,4.9
"55","Iris-versicolor",2.8,4.6,1.5,6.5
"74","Iris-versicolor",2.8,4.7,1.2,6.1
"5","Iris-setosa",3.6,1.4,0.2,5
"22","Iris-setosa",3.7,1.5,0.4,5.1
"40","Iris-setosa",3.4,1.5,0.2,5.1
"125","Iris-virginica",3.3,5.7,2.1,6.7
"77","Iris-versicolor",2.8,4.8,1.4,6.8
"51","Iris-versicolor",3.2,4.7,1.4,7
"102","Iris-virginica",2.7,5.1,1.9,5.8
"21","Iris-setosa",3.4,1.7,0.2,5.4
"124","Iris-virginica",2.7,4.9,1.8,6.3
"144","Iris-virginica",3.2,5.9,2.3,6.8
"103","Iris-virginica",3,5.9,2.1,7.1
"148","Iris-virginica",3,5.2,2,6.5
"27","Iris-setosa",3.4,1.6,0.4,5
"93","Iris-versicolor",2.6,4,1.2,5.8
"6","Iris-setosa",3.9,1.7,0.4,5.4
"49","Iris-setosa",3.7,1.5,0.2,5.3
"139","Iris-virginica",3,4.8,1.8,6
"72","Iris-versicolor",2.8,4,1.3,6.1
"66","Iris-versicolor",3.1,4.4,1.4,6.7
"76","Iris-versicolor",3,4.4,1.4,6.6
"29","Iris-setosa",3.4,1.4,0.2,5.2
"57","Iris-versicolor",3.3,4.7,1.6,6.3
"126","Iris-virginica",3.2,6,1.8,7.2
"8","Iris-setosa",3.4,1.5,0.2,5
"117","Iris-virginica",3,5.5,1.8,6.5
"150","Iris-virginica",3,5.1,1.8,5.9
"97","Iris-versicolor",2.9,4.2,1.3,5.7
"116","Iris-virginica",3.2,5.3,2.3,6.4
"59","Iris-versicolor",2.9,4.6,1.3,6.6
"3","Iris-setosa",3.2,1.3,0.2,4.7
"79","Iris-versicolor",2.9,4.5,1.5,6
"17","Iris-setosa",3.9,1.3,0.4,5.4
"129","Iris-virginica",2.8,5.6,2.1,6.4
"98","Iris-versicolor",2.9,4.3,1.3,6.2
"41","Iris-setosa",3.5,1.3,0.3,5
"133","Iris-virginica",2.8,5.6,2.2,6.4
"30","Iris-setosa",3.2,1.6,0.2,4.7
"69","Iris-versicolor",2.2,4.5,1.5,6.2
"65","Iris-versicolor",2.9,3.6,1.3,5.6
"53","Iris-versicolor",3.1,4.9,1.5,6.9
"52","Iris-versicolor",3.2,4.5,1.5,6.4
"70","Iris-versicolor",2.5,3.9,1.1,5.6
"24","Iris-setosa",3.3,1.7,0.5,5.1
